timestamp,lat,long,value1
1664742625.47141,-79.0, -150, 57749124689.49941
1664742625.47141,-79.0, -145, 58868023537.685165
1664742625.47141,-79.0, -140, 60271493340.148605
1664742625.47141,-79.0, -135, 61945537349.3612
1664742625.47141,-79.0, -130, 63840189650.818054
1664742625.47141,-79.0, -125, 65879169302.30707
1664742625.47141,-79.0, -120, 68126873110.921104
1664742625.47141,-79.0, -115, 70644543775.57996
1664742625.47141,-79.0, -110, 73311780689.07346
1664742625.47141,-79.0, -105, 76003858599.68137
1664742625.47141,-79.0, -100, 78769624527.24042
1664742625.47141,-79.0, -95, 81658876709.64075
1664742625.47141,-79.0, -90, 84514770847.51262
1664742625.47141,-79.0, -85, 87180970829.67651
1664742625.47141,-79.0, -80, 89672407665.61711
1664742625.47141,-79.0, -75, 92039487109.59325
1664742625.47141,-79.0, -70, 94044098380.8898
1664742625.47141,-79.0, -65, 95332301614.39838
1664742625.47141,-79.0, -60, 96221113783.43059
1664742625.47141,-79.0, -55, 97232248165.64973
1664742625.47141,-79.0, -50, 97862073896.46713
1664742625.47141,-79.0, -45, 97642569395.83543
1664742625.47141,-79.0, -40, 96884252006.8743
1664742625.47141,-79.0, -35, 95831592887.09767
1664742625.47141,-79.0, -30, 94462962620.28963
1664742625.47141,-79.0, -25, 92830354516.43904
1664742625.47141,-79.0, -20, 91022254455.17665
1664742625.47141,-79.0, -15, 89140447478.15799
1664742625.47141,-79.0, -10, 87242234640.49353
1664742625.47141,-79.0, -5, 85404126166.19995
1664742625.47141,-79.0, 0, 83686949103.84889
1664742625.47141,-79.0, 5, 82177489391.63304
1664742625.47141,-79.0, 10, 80880597304.92738
1664742625.47141,-79.0, 15, 79700392729.99684
1664742625.47141,-79.0, 20, 79003002129.69945
1664742625.47141,-79.0, 25, 79156067218.59175
1664742625.47141,-79.0, 30, 79735376234.64337
1664742625.47141,-79.0, 35, 80411007360.8275
1664742625.47141,-79.0, 40, 81390005454.14781
1664742625.47141,-79.0, 45, 82754315118.13564
1664742625.47141,-79.0, 50, 84307115410.2039
1664742625.47141,-79.0, 55, 85896275829.48135
1664742625.47141,-79.0, 60, 87494098039.3504
1664742625.47141,-79.0, 65, 89050338202.47935
1664742625.47141,-79.0, 70, 90487170652.84776
1664742625.47141,-79.0, 75, 91793452292.00328
1664742625.47141,-79.0, 80, 92754554998.77237
1664742625.47141,-79.0, 85, 93093924422.40599
1664742625.47141,-79.0, 90, 92994145220.51837
1664742625.47141,-79.0, 95, 92705829407.94342
1664742625.47141,-79.0, 100, 92040667056.4069
1664742625.47141,-79.0, 105, 90884945103.2165
1664742625.47141,-79.0, 110, 89285440717.35422
1664742625.47141,-79.0, 115, 87256284410.89333
1664742625.47141,-79.0, 120, 84875567785.38965
1664742625.47141,-79.0, 125, 82252549762.7203
1664742625.47141,-79.0, 130, 79409774263.99619
1664742625.47141,-79.0, 135, 76320101344.0135
1664742625.47141,-79.0, 140, 73251696472.76353
1664742625.47141,-79.0, 145, 70531916988.67842
1664742625.47141,-79.0, 150, 67982713881.46327
1664742625.47141,-79.0, 155, 65414639397.814514
1664742625.47141,-79.0, 160, 63125501479.7043
1664742625.47141,-79.0, 165, 61429593752.97607
1664742625.47141,-79.0, 170, 59972986607.55458
1664742625.47141,-79.0, 175, 58399784708.62527
1664742625.47141,-79.0, 180, 57117884579.44282
1664742625.47141,-76.5, -180, 54279480846.027954
1664742625.47141,-76.5, -175, 53205348882.58543
1664742625.47141,-76.5, -170, 52626187395.21312
1664742625.47141,-76.5, -165, 52661115592.38176
1664742625.47141,-76.5, -160, 53035021556.265564
1664742625.47141,-76.5, -155, 53485676497.31165
1664742625.47141,-76.5, -150, 54295065950.49649
1664742625.47141,-76.5, -145, 55648773749.82463
1664742625.47141,-76.5, -140, 57381037316.23086
1664742625.47141,-76.5, -135, 59442986316.98881
1664742625.47141,-76.5, -130, 61756488322.33185
1664742625.47141,-76.5, -125, 64202894930.17432
1664742625.47141,-76.5, -120, 66966237148.53766
1664742625.47141,-76.5, -115, 70179765145.2022
1664742625.47141,-76.5, -110, 73619145490.00313
1664742625.47141,-76.5, -105, 77118564216.34802
1664742625.47141,-76.5, -100, 80780784509.38155
1664742625.47141,-76.5, -95, 84645107297.5926
1664742625.47141,-76.5, -90, 88479795961.46867
