latitude, longitude, E-density
-86.5, 180, 48224115970.586655
-84.0, -180, 58822500520.62246
-84.0, -175, 58480502560.72849
-84.0, -170, 58361459302.956474
-84.0, -165, 58640182249.38047
-84.0, -160, 59026654318.81293
-84.0, -155, 59191624132.91219
-84.0, -150, 59465976668.01527
-84.0, -145, 60170990863.51818
-84.0, -140, 60964528105.52735
-84.0, -135, 61497678802.058174
-84.0, -130, 62113717151.6416
-84.0, -125, 63170388566.93546
-84.0, -120, 64283557116.77881
-84.0, -115, 65052395389.608475
-84.0, -110, 65838659164.12217
-84.0, -105, 67029295530.90188
-84.0, -100, 68217808816.699554
-84.0, -95, 68962251763.56561
-84.0, -90, 69663275204.87292
-84.0, -85, 70768907385.23044
-84.0, -80, 71830334168.80412
-84.0, -75, 72378949107.55441
-84.0, -70, 72803872639.29077
-84.0, -65, 73506008758.9913
-84.0, -60, 74122658322.05357
-84.0, -55, 74339701797.41759
-84.0, -50, 74335245203.6097
-84.0, -45, 74195682478.39676
-84.0, -40, 73939325701.0419
-84.0, -35, 73617964341.75708
-84.0, -30, 73251006881.53363
-84.0, -25, 72880523318.53564
-84.0, -20, 72504528546.23734
-84.0, -15, 72119402672.85345
-84.0, -10, 71770939858.39511
-84.0, -5, 71497309617.76772
-84.0, 0, 71310802055.33214
-84.0, 5, 71262959382.26665
-84.0, 10, 71256407824.5698
-84.0, 15, 71200945662.78781
-84.0, 20, 71115704428.17021
-84.0, 25, 70897945063.5929
-84.0, 30, 70797364674.35487
-84.0, 35, 71161776269.3239
-84.0, 40, 71553180354.0246
-84.0, 45, 71483258737.39648
-84.0, 50, 71466970141.4922
-84.0, 55, 72038526806.56569
-84.0, 60, 72615144255.96552
-84.0, 65, 72647656827.90991
-84.0, 70, 72623690808.6226
-84.0, 75, 73029318477.05988
-84.0, 80, 73295376647.66179
-84.0, 85, 72893381202.33853
-84.0, 90, 72262674555.68393
-84.0, 95, 71674804024.72313
-84.0, 100, 71112740170.7254
-84.0, 105, 70772749703.76881
-84.0, 110, 70296787669.36841
-84.0, 115, 69269623442.92488
-84.0, 120, 68138313124.288925
-84.0, 125, 67287379333.62468
-84.0, 130, 66460395130.66226
-84.0, 135, 65500718980.300606
-84.0, 140, 64533416111.48886
-84.0, 145, 63642024628.62459
-84.0, 150, 62782504238.94715
-84.0, 155, 61913297430.31104
-84.0, 160, 61115301750.65389
-84.0, 165, 60476148790.0918
-84.0, 170, 59908602247.80439
-84.0, 175, 59316601350.76483
-84.0, 180, 58822500520.62168
-81.5, -180, 59342734589.03119
-81.5, -175, 58904030221.675285
-81.5, -170, 58768191827.38375
-81.5, -165, 58864847266.67963
-81.5, -160, 59159242176.95869
-81.5, -155, 59569264424.67455
-81.5, -150, 60176381940.25716
-81.5, -145, 61056079501.8497
-81.5, -140, 62109082608.22526
-81.5, -135, 63228622876.00118
-81.5, -130, 64513790518.40371
-81.5, -125, 66070236829.26806
-81.5, -120, 67748408260.5678
-81.5, -115, 69390476634.06818
-81.5, -110, 71106931183.6398
-81.5, -105, 73014950114.53535
-81.5, -100, 74943999912.06163
-81.5, -95, 76707334637.4332
-81.5, -90, 78424455150.11275
-81.5, -85, 80231256204.2285
-81.5, -80, 81948228409.42642
-81.5, -75, 83443142573.65794
-81.5, -70, 84673281100.2528
-81.5, -65, 85484692598.6361
-81.5, -60, 86076156996.71902
-81.5, -55, 86766713316.22871
-81.5, -50, 87206346538.58502
-81.5, -45, 87039090995.43912
-81.5, -40, 86539339056.3193
-81.5, -35, 85915964224.79964
